,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature,Datetime
0,3.574,6.6080000000000005,-0.5399999999999996,1,1750,3.0340000000000003,1750-01-01
1,3.702,6.785,-0.6189999999999998,2,1750,3.083,1750-02-01
2,3.076,8.702,2.5500000000000003,3,1750,5.626,1750-03-01
3,2.451,10.941,6.039,4,1750,8.49,1750-04-01
4,2.072,13.645,9.501000000000001,5,1750,11.573,1750-05-01
5,1.724,14.661,11.213,6,1750,12.937,1750-06-01
6,1.911,17.779,13.957,7,1750,15.868,1750-07-01
7,2.231,16.981,12.519,8,1750,14.75,1750-08-01
8,2.637,14.049999999999999,8.775999999999998,9,1750,11.412999999999998,1750-09-01
9,2.668,9.035,3.698999999999999,10,1750,6.366999999999999,1750-10-01
10,,,,11,1750,,1750-11-01
11,2.97,5.742,-0.1980000000000004,12,1750,2.772,1750-12-01
12,3.469,5.964,-0.9739999999999998,1,1751,2.495,1751-01-01
13,3.827,4.79,-2.864,2,1751,0.963,1751-02-01
14,3.051,8.850999999999999,2.7489999999999997,3,1751,5.8,1751-03-01
15,2.3680000000000003,10.038,5.302,4,1751,7.67,1751-04-01
16,,,,5,1751,,1751-05-01
17,1.801,15.628,12.026,6,1751,13.827,1751-06-01
18,,,,7,1751,,1751-07-01
19,2.296,16.701,12.109,8,1751,14.405,1751-08-01
20,2.656,13.329,8.017,9,1751,10.673,1751-09-01
21,,,,10,1751,,1751-10-01
22,,,,11,1751,,1751-11-01
23,,,,12,1751,,1751-12-01
24,3.7889999999999997,4.1370000000000005,-3.4409999999999994,1,1752,0.3480000000000003,1752-01-01
25,,,,2,1752,,1752-02-01
26,3.1919999999999997,8.998,2.6140000000000003,3,1752,5.806,1752-03-01
27,2.398,10.662999999999998,5.866999999999999,4,1752,8.264999999999999,1752-04-01
28,,,,5,1752,,1752-05-01
29,,,,6,1752,,1752-06-01
30,,,,7,1752,,1752-07-01
31,,,,8,1752,,1752-08-01
32,,,,9,1752,,1752-09-01
33,2.7539999999999996,10.592999999999998,5.084999999999999,10,1752,7.838999999999999,1752-10-01
34,2.747,10.082,4.588,11,1752,7.335,1752-11-01
35,2.9819999999999998,8.068,2.1040000000000005,12,1752,5.086,1752-12-01
36,3.478,5.517,-1.439,1,1753,2.039,1753-01-01
37,6.341,7.056,-5.626,2,1753,0.7149999999999999,1753-02-01
38,2.929,8.353,2.4950000000000006,3,1753,5.424,1753-03-01
39,3.177,11.449,5.095000000000001,4,1753,8.272,1753-04-01
40,3.111,15.297,9.075,5,1753,12.186,1753-05-01
41,2.59,17.175,11.995000000000001,6,1753,14.585,1753-06-01
42,1.929,17.021,13.163,7,1753,15.092,1753-07-01
43,2.4530000000000003,16.601,11.695,8,1753,14.148,1753-08-01
44,2.5380000000000003,15.86,10.783999999999999,9,1753,13.322,1753-09-01
45,2.585,11.547,6.377,10,1753,8.962,1753-10-01
46,2.807,8.16,2.546,11,1753,5.353,1753-11-01
47,4.1739999999999995,4.732999999999999,-3.6149999999999998,12,1753,0.5589999999999997,1753-12-01
48,5.02,6.593999999999999,-3.4459999999999997,1,1754,1.574,1754-01-01
49,7.492000000000001,6.243000000000001,-8.741,2,1754,-1.2489999999999997,1754-02-01
50,3.3360000000000003,7.013,0.34099999999999975,3,1754,3.677,1754-03-01
51,3.293,14.902999999999999,8.317,4,1754,11.61,1754-04-01
52,3.937,15.873,7.9990000000000006,5,1754,11.936,1754-05-01
53,3.366,17.754,11.022,6,1754,14.388,1754-06-01
54,2.401,17.082,12.28,7,1754,14.681,1754-07-01
55,1.892,15.447999999999999,11.664,8,1754,13.556,1754-08-01
56,2.318,13.447,8.811,9,1754,11.129,1754-09-01
57,2.529,12.111,7.053000000000001,10,1754,9.582,1754-10-01
58,3.048,9.209,3.1130000000000004,11,1754,6.1610000000000005,1754-11-01
59,3.299,7.885999999999999,1.2879999999999998,12,1754,4.587,1754-12-01
60,4.6930000000000005,5.760000000000001,-3.6260000000000003,1,1755,1.067,1755-01-01
61,5.857,5.7490000000000006,-5.965,2,1755,-0.1080000000000001,1755-02-01
62,3.909,7.516,-0.3019999999999996,3,1755,3.607,1755-03-01
63,3.372,12.635,5.891,4,1755,9.263,1755-04-01
64,4.151,17.031999999999996,8.729999999999999,5,1755,12.880999999999998,1755-05-01
65,5.322,20.702,10.058,6,1755,15.38,1755-06-01
66,1.936,16.333,12.461,7,1755,14.397,1755-07-01
67,2.381,15.896,11.134,8,1755,13.515,1755-08-01
68,3.4160000000000004,15.189,8.357,9,1755,11.773,1755-09-01
69,3.931,13.901,6.039000000000001,10,1755,9.97,1755-10-01
70,4.021,9.979,1.9369999999999985,11,1755,5.957999999999998,1755-11-01
71,3.215,5.779,-0.6509999999999998,12,1755,2.564,1755-12-01
72,3.513,7.4,0.3740000000000001,1,1756,3.887,1756-01-01
73,4.265,9.931000000000001,1.4010000000000007,2,1756,5.666,1756-02-01
74,5.574,9.766,-1.3819999999999997,3,1756,4.192,1756-03-01
75,3.752,13.794,6.29,4,1756,10.042,1756-04-01
76,2.608,16.772,11.555999999999997,5,1756,14.163999999999998,1756-05-01
77,3.213,17.76,11.334,6,1756,14.547,1756-06-01
78,2.1919999999999997,16.098,11.714,7,1756,13.906,1756-07-01
79,2.175,15.611999999999998,11.262,8,1756,13.437,1756-08-01
80,2.9539999999999997,15.605999999999998,9.698,9,1756,12.652,1756-09-01
81,2.201,9.512999999999998,5.110999999999999,10,1756,7.3119999999999985,1756-10-01
82,2.86,7.084999999999999,1.3649999999999998,11,1756,4.225,1756-11-01
83,3.841,6.006,-1.6760000000000002,12,1756,2.165,1756-12-01
84,4.022,3.746,-4.298,1,1757,-0.27600000000000025,1757-01-01
85,4.261,7.965,-0.5570000000000004,2,1757,3.7039999999999997,1757-02-01
86,3.638,8.167,0.891,3,1757,4.529,1757-03-01
87,4.303999999999999,12.549999999999997,3.9419999999999993,4,1757,8.245999999999999,1757-04-01
88,4.98,18.019,8.059,5,1757,13.039,1757-05-01
89,4.59,21.705,12.524999999999999,6,1757,17.115,1757-06-01
90,4.322,21.932,13.288,7,1757,17.61,1757-07-01
91,4.035,21.945,13.875,8,1757,17.91,1757-08-01
92,3.1889999999999996,18.041,11.663,9,1757,14.852,1757-09-01
93,3.173,9.654999999999998,3.3089999999999975,10,1757,6.4819999999999975,1757-10-01
94,2.6430000000000002,6.675000000000001,1.3889999999999998,11,1757,4.032,1757-11-01
95,5.155,6.176,-4.134,12,1757,1.0210000000000004,1757-12-01
96,7.349,5.846,-8.852,1,1758,-1.5029999999999997,1758-01-01
97,3.753,4.559,-2.947,2,1758,0.8059999999999999,1758-02-01
98,3.3680000000000003,7.133000000000001,0.3969999999999998,3,1758,3.765,1758-03-01
99,2.986,10.196,4.223999999999998,4,1758,7.209999999999999,1758-04-01
100,3.091,12.806000000000001,6.624,5,1758,9.715,1758-05-01
101,2.055,15.193999999999999,11.084,6,1758,13.139,1758-06-01
102,3.608,17.455,10.238999999999999,7,1758,13.847,1758-07-01
103,2.9789999999999996,14.796999999999999,8.839,8,1758,11.818,1758-08-01
104,2.347,12.374999999999998,7.680999999999999,9,1758,10.027999999999999,1758-09-01
105,2.332,4.225999999999999,-0.4380000000000006,10,1758,1.8939999999999992,1758-10-01
106,3.2430000000000003,10.198,3.7119999999999997,11,1758,6.955,1758-11-01
107,3.2439999999999998,6.492999999999999,0.004999999999999893,12,1758,3.2489999999999997,1758-12-01
108,3.673,8.686999999999998,1.3409999999999984,1,1759,5.0139999999999985,1759-01-01
109,5.966,10.048,-1.8840000000000003,2,1759,4.082,1759-02-01
110,3.958,8.478,0.5619999999999994,3,1759,4.52,1759-03-01
111,3.159,9.142,2.824,4,1759,5.983,1759-04-01
112,2.503,12.692,7.686,5,1759,10.189,1759-05-01
113,2.2319999999999998,15.744,11.280000000000001,6,1759,13.512,1759-06-01
114,2.65,15.176,9.876,7,1759,12.526,1759-07-01
115,5.626,20.213,8.960999999999999,8,1759,14.587,1759-08-01
116,3.235,15.860999999999999,9.391,9,1759,12.626,1759-09-01
117,2.983,11.250000000000002,5.284000000000001,10,1759,8.267000000000001,1759-10-01
118,3.167,7.435000000000001,1.1010000000000018,11,1759,4.268000000000002,1759-11-01
119,4.995,5.242,-4.748,12,1759,0.2469999999999999,1759-12-01
120,4.567,3.7560000000000002,-5.378,1,1760,-0.8109999999999999,1760-01-01
121,3.535,5.971,-1.0990000000000002,2,1760,2.436,1760-02-01
122,4.666,6.53,-2.8020000000000005,3,1760,1.864,1760-03-01
123,2.6689999999999996,10.104999999999999,4.7669999999999995,4,1760,7.435999999999999,1760-04-01
124,1.857,12.517999999999999,8.804,5,1760,10.661,1760-05-01
125,2.14,14.085,9.805,6,1760,11.945,1760-06-01
126,2.5669999999999997,15.454,10.32,7,1760,12.887,1760-07-01
127,2.7889999999999997,16.706,11.128,8,1760,13.917,1760-08-01
128,3.865,15.062,7.331999999999999,9,1760,11.197,1760-09-01
129,3.4219999999999997,10.123000000000001,3.279000000000001,10,1760,6.7010000000000005,1760-10-01
130,2.3480000000000003,7.784000000000001,3.0879999999999996,11,1760,5.436,1760-11-01
131,2.642,5.195,-0.08899999999999997,12,1760,2.553,1760-12-01
132,4.779,5.379,-4.179,1,1761,0.6000000000000001,1761-01-01
133,3.775,6.51,-1.04,2,1761,2.735,1761-02-01
134,3.225,9.201,2.751,3,1761,5.976,1761-03-01
135,1.652,8.973,5.669000000000001,4,1761,7.3210000000000015,1761-04-01
136,1.709,15.159999999999998,11.741999999999999,5,1761,13.450999999999999,1761-05-01
137,3.1660000000000004,19.987,13.654999999999998,6,1761,16.820999999999998,1761-06-01
138,2.696,21.717000000000002,16.325,7,1761,19.021,1761-07-01
139,2.013,17.344,13.318,8,1761,15.331,1761-08-01
140,4.075,16.61,8.459999999999997,9,1761,12.534999999999998,1761-09-01
141,3.932,11.158999999999999,3.2949999999999986,10,1761,7.2269999999999985,1761-10-01
142,2.248,7.337000000000001,2.841,11,1761,5.089,1761-11-01
143,4.468,3.631,-5.305,12,1761,-0.8370000000000002,1761-12-01
144,3.7760000000000002,10.642000000000001,3.0900000000000003,1,1762,6.8660000000000005,1762-01-01
145,7.88,12.681000000000001,-3.0789999999999997,2,1762,4.801,1762-02-01
146,4.138999999999999,7.667,-0.6109999999999989,3,1762,3.5280000000000005,1762-03-01
147,2.199,11.218,6.82,4,1762,9.019,1762-04-01
148,3.0439999999999996,13.924999999999997,7.836999999999999,5,1762,10.880999999999998,1762-05-01
149,3.3110000000000004,16.810000000000002,10.188,6,1762,13.499,1762-06-01
150,1.966,16.686,12.754000000000001,7,1762,14.72,1762-07-01
151,3.3289999999999997,17.321,10.663,8,1762,13.992,1762-08-01
152,3.2260000000000004,13.552,7.099999999999998,9,1762,10.325999999999999,1762-09-01
153,2.8789999999999996,9.035,3.277000000000002,10,1762,6.1560000000000015,1762-10-01
154,3.3539999999999996,9.721,3.0130000000000012,11,1762,6.367000000000001,1762-11-01
155,3.188,6.311,-0.06499999999999995,12,1762,3.123,1762-12-01
