StoreCode,Date,ChickenHuns,1pc,2 pc,3 pc,4 pc,8pc,8pc Meal,12 pc,12 pc Meal,16 pc,16 pc Meal,20 pc,20 pc Meal
C750001,20180221,20.625,23,61,10,0,29,1,7,1,4,0,1,1
C750001,20180222,18.125,19,78,5,0,23,3,14,0,9,1,0,0
C750001,20180223,14.875,16,68,8,0,34,1,10,2,7,1,1,0
C750001,20180224,25.875,17,48,4,0,29,2,9,1,5,1,0,0
C750001,20180225,24.5,21,43,6,0,27,3,14,1,5,1,0,0
C750001,20180226,18.5,24,48,6,0,10,0,8,0,5,0,0,0
C750001,20180227,10.25,30,63,4,0,3,2,6,1,2,1,1,0
C750001,20180228,8.875,17,59,2,0,4,2,8,2,3,1,3,0
C750001,20180301,34.875,17,80,10,0,5,2,5,1,10,0,0,0
C750001,20180302,32.375,25,68,8,0,7,4,12,3,3,0,0,0
C750001,20180303,25,21,53,6,0,1,0,6,1,6,1,0,0
C750001,20180304,14.625,23,46,6,0,4,0,7,0,3,0,0,2
C750001,20180305,12.625,21,61,3,0,6,4,8,0,0,0,1,0
C750001,20180306,15.75,20,72,6,0,3,0,7,1,1,0,0,0
C750001,20180307,18.375,25,53,9,0,5,3,3,3,1,0,1,0
C750001,20180308,9.625,28,58,4,0,7,1,3,4,2,1,0,1
C750001,20180309,24.875,23,64,3,0,4,4,8,1,2,2,0,0
C750001,20180310,14.875,17,42,4,0,5,0,5,1,4,0,1,0
C750001,20180311,10,11,54,2,0,6,0,8,3,5,0,0,0
C750001,20180312,18.875,11,62,4,0,8,1,7,2,4,2,1,0
C750001,20180313,12.125,21,47,1,0,0,2,6,2,3,1,0,2
C750001,20180314,22.25,20,65,3,0,3,2,3,2,6,0,0,0
C750001,20180315,14,15,68,1,0,7,1,5,0,9,0,0,0
C750001,20180316,24.125,19,64,3,0,7,2,4,2,6,0,0,2
C750001,20180317,20.125,20,43,0,0,5,1,2,1,3,0,0,1
C750001,20180318,10.25,18,47,0,0,2,1,7,0,5,1,0,0
C750001,20180319,12.625,0,44,4,0,8,1,5,6,2,1,0,0
C750001,20180320,15.375,0,45,3,0,7,1,2,2,0,1,0,0
C750001,20180321,15.875,0,52,12,0,7,2,7,1,8,0,0,0
C750001,20180322,18.875,0,57,5,0,5,2,6,3,4,0,0,0
C750001,20180323,28.25,0,55,6,0,7,2,10,1,1,1,2,0
C750001,20180324,21.375,0,47,1,0,2,2,8,2,4,1,0,1
C750001,20180325,12.625,0,37,0,0,7,1,6,3,7,0,1,1
C750001,20180326,5.5,0,58,1,0,4,4,3,0,2,2,0,0
C750001,20180327,-1.25,0,62,2,0,3,1,5,1,2,2,0,0
C750001,20180328,45.375,0,60,0,0,8,2,9,3,3,1,1,0
C750001,20180329,17.375,0,81,2,0,7,2,12,0,6,0,0,0
