Date,Route,Attempted,Succeeded,Success Percentage
11/27/2015,Disappointment Cleaver,2,0,0
11/21/2015,Disappointment Cleaver,3,0,0
10/15/2015,Disappointment Cleaver,2,0,0
10/13/2015,Little Tahoma,8,0,0
10/9/2015,Disappointment Cleaver,2,0,0
10/3/2015,Disappointment Cleaver,10,0,0
10/3/2015,Disappointment Cleaver,2,0,0
10/2/2015,Kautz Glacier,2,0,0
10/2/2015,Disappointment Cleaver,2,0,0
9/30/2015,Disappointment Cleaver,2,0,0
9/28/2015,Disappointment Cleaver,12,4,0.333333333
9/27/2015,Disappointment Cleaver,12,6,0.5
9/26/2015,Disappointment Cleaver,2,0,0
9/26/2015,Disappointment Cleaver,12,3,0.25
9/26/2015,Disappointment Cleaver,3,0,0
9/25/2015,Disappointment Cleaver,12,9,0.75
9/25/2015,Disappointment Cleaver,11,6,0.545454545
9/24/2015,Disappointment Cleaver,10,0,0
9/24/2015,Disappointment Cleaver,11,1,0.090909091
9/23/2015,Disappointment Cleaver,12,0,0
9/22/2015,Disappointment Cleaver,3,0,0
9/21/2015,Disappointment Cleaver,2,0,0
9/21/2015,Disappointment Cleaver,2,0,0
9/21/2015,Disappointment Cleaver,11,0,0
9/21/2015,Disappointment Cleaver,8,0,0
9/21/2015,Disappointment Cleaver,10,9,0.9
9/20/2015,Disappointment Cleaver,3,0,0
9/20/2015,Disappointment Cleaver,12,7,0.583333333
9/20/2015,Disappointment Cleaver,12,0,0
9/20/2015,Disappointment Cleaver,11,0,0
9/19/2015,Disappointment Cleaver,12,0,0
9/19/2015,Disappointment Cleaver,2,0,0
9/19/2015,Disappointment Cleaver,12,0,0
9/19/2015,Disappointment Cleaver,11,0,0
9/18/2015,Disappointment Cleaver,12,0,0
9/18/2015,Disappointment Cleaver,11,0,0
9/18/2015,Disappointment Cleaver,12,0,0
9/18/2015,Disappointment Cleaver,2,0,0
9/18/2015,Disappointment Cleaver,2,0,0
9/17/2015,Disappointment Cleaver,12,0,0
9/16/2015,Disappointment Cleaver,12,0,0
9/15/2015,Disappointment Cleaver,9,0,0
9/14/2015,Disappointment Cleaver,8,7,0.875
9/14/2015,Disappointment Cleaver,12,12,1
9/14/2015,Disappointment Cleaver,2,2,1
9/14/2015,Disappointment Cleaver,3,3,1
9/14/2015,Disappointment Cleaver,2,2,1
9/13/2015,Disappointment Cleaver,2,0,0
9/13/2015,Disappointment Cleaver,12,0,0
9/13/2015,Disappointment Cleaver,12,0,0
9/13/2015,Disappointment Cleaver,11,0,0
9/12/2015,Disappointment Cleaver,2,0,0
9/12/2015,Disappointment Cleaver,11,0,0
9/12/2015,Disappointment Cleaver,11,0,0
9/12/2015,Disappointment Cleaver,2,0,0
9/12/2015,Disappointment Cleaver,2,0,0
9/12/2015,Disappointment Cleaver,2,2,1
9/12/2015,Disappointment Cleaver,1,0,0
9/12/2015,Disappointment Cleaver,12,11,0.916666667
9/11/2015,Disappointment Cleaver,3,0,0
9/11/2015,Disappointment Cleaver,12,4,0.333333333
9/11/2015,Disappointment Cleaver,12,4,0.333333333
9/11/2015,Disappointment Cleaver,12,0,0
9/11/2015,Disappointment Cleaver,1,0,0
9/11/2015,Disappointment Cleaver,4,0,0
9/11/2015,Disappointment Cleaver,6,0,0
9/11/2015,Disappointment Cleaver,2,2,1
9/11/2015,Disappointment Cleaver,2,0,0
9/10/2015,Disappointment Cleaver,12,0,0
9/10/2015,Disappointment Cleaver,2,2,1
9/9/2015,Disappointment Cleaver,2,2,1
9/9/2015,Disappointment Cleaver,2,0,0
9/9/2015,Disappointment Cleaver,12,10,0.833333333
9/8/2015,Disappointment Cleaver,2,0,0
9/7/2015,Disappointment Cleaver,2,0,0
9/7/2015,Disappointment Cleaver,3,0,0
9/7/2015,Disappointment Cleaver,12,5,0.416666667
9/7/2015,Disappointment Cleaver,8,4,0.5
9/7/2015,Disappointment Cleaver,11,0,0
9/7/2015,Disappointment Cleaver,11,9,0.818181818
9/6/2015,Disappointment Cleaver,12,0,0
9/6/2015,Disappointment Cleaver,11,0,0
9/6/2015,Disappointment Cleaver,12,0,0
9/5/2015,Disappointment Cleaver,3,0,0
9/5/2015,Emmons-Winthrop,5,0,0
9/5/2015,Disappointment Cleaver,2,0,0
9/5/2015,Disappointment Cleaver,3,0,0
9/5/2015,Disappointment Cleaver,12,0,0
9/5/2015,Disappointment Cleaver,2,0,0
9/5/2015,Disappointment Cleaver,4,0,0
9/5/2015,Disappointment Cleaver,12,0,0
9/5/2015,Disappointment Cleaver,11,0,0
9/5/2015,Disappointment Cleaver,2,0,0
9/4/2015,Disappointment Cleaver,3,0,0
9/4/2015,Disappointment Cleaver,12,0,0
9/4/2015,Disappointment Cleaver,12,0,0
9/4/2015,Disappointment Cleaver,12,0,0
9/4/2015,Disappointment Cleaver,2,0,0
9/4/2015,Disappointment Cleaver,2,0,0
9/3/2015,Disappointment Cleaver,2,0,0
9/3/2015,Disappointment Cleaver,3,0,0
9/3/2015,Disappointment Cleaver,11,0,0
9/3/2015,Disappointment Cleaver,11,0,0
9/3/2015,Disappointment Cleaver,12,0,0
9/2/2015,Disappointment Cleaver,8,0,0
9/2/2015,Disappointment Cleaver,12,0,0
9/2/2015,Disappointment Cleaver,12,0,0
9/1/2015,Disappointment Cleaver,12,0,0
9/1/2015,Disappointment Cleaver,10,0,0
9/1/2015,Disappointment Cleaver,12,0,0
9/1/2015,Disappointment Cleaver,12,0,0
8/31/2015,Disappointment Cleaver,12,0,0
8/31/2015,Disappointment Cleaver,12,0,0
8/31/2015,Disappointment Cleaver,12,0,0
8/30/2015,Disappointment Cleaver,12,0,0
8/30/2015,Disappointment Cleaver,12,0,0
8/30/2015,Disappointment Cleaver,12,0,0
8/29/2015,Disappointment Cleaver,12,0,0
8/29/2015,Disappointment Cleaver,11,0,0
8/28/2015,Disappointment Cleaver,11,0,0
8/28/2015,Disappointment Cleaver,11,0,0
8/28/2015,Disappointment Cleaver,3,0,0
8/27/2015,Disappointment Cleaver,12,0,0
8/27/2015,Disappointment Cleaver,12,0,0
8/27/2015,Disappointment Cleaver,10,0,0
8/26/2015,Disappointment Cleaver,12,7,0.583333333
8/26/2015,Disappointment Cleaver,3,3,1
8/26/2015,Disappointment Cleaver,2,2,1
8/26/2015,Disappointment Cleaver,6,6,1
8/26/2015,Disappointment Cleaver,9,3,0.333333333
8/26/2015,Disappointment Cleaver,9,5,0.555555556
8/26/2015,Disappointment Cleaver,12,0,0
8/26/2015,Emmons-Winthrop,2,1,0.5
8/26/2015,Disappointment Cleaver,3,4,1.333333333
8/26/2015,Disappointment Cleaver,2,2,1
8/26/2015,Disappointment Cleaver,12,0,0
8/26/2015,Disappointment Cleaver,2,0,0
8/25/2015,Disappointment Cleaver,2,2,1
8/25/2015,Disappointment Cleaver,6,0,0
8/25/2015,Disappointment Cleaver,12,4,0.333333333
8/25/2015,Disappointment Cleaver,12,7,0.583333333
8/24/2015,Disappointment Cleaver,2,2,1
8/24/2015,Disappointment Cleaver,10,7,0.7
8/24/2015,Disappointment Cleaver,11,9,0.818181818
8/24/2015,Disappointment Cleaver,3,3,1
8/24/2015,Disappointment Cleaver,12,9,0.75
8/23/2015,Disappointment Cleaver,5,0,0
8/23/2015,Disappointment Cleaver,12,9,0.75
8/23/2015,Disappointment Cleaver,12,4,0.333333333
8/23/2015,Disappointment Cleaver,6,4,0.666666667
8/23/2015,Disappointment Cleaver,4,4,1
8/23/2015,Disappointment Cleaver,2,2,1
8/22/2015,Disappointment Cleaver,4,4,1
8/22/2015,Disappointment Cleaver,2,0,0
8/22/2015,Disappointment Cleaver,2,0,0
8/22/2015,Kautz Glacier,3,0,0
8/22/2015,Disappointment Cleaver,4,4,1
8/22/2015,Disappointment Cleaver,1,0,0
8/22/2015,Disappointment Cleaver,3,3,1
8/22/2015,Disappointment Cleaver,2,0,0
8/22/2015,Disappointment Cleaver,4,4,1
8/22/2015,Disappointment Cleaver,2,2,1
8/22/2015,Emmons-Winthrop,4,0,0
8/22/2015,Disappointment Cleaver,2,2,1
8/22/2015,Disappointment Cleaver,12,0,0
8/22/2015,Disappointment Cleaver,9,7,0.777777778
8/22/2015,Disappointment Cleaver,9,7,0.777777778
8/22/2015,Disappointment Cleaver,3,3,1
8/22/2015,Disappointment Cleaver,3,2,0.666666667
8/22/2015,Disappointment Cleaver,3,0,0
8/22/2015,Disappointment Cleaver,1,1,1
8/22/2015,Disappointment Cleaver,2,2,1
8/22/2015,Disappointment Cleaver,12,0,0
8/22/2015,Disappointment Cleaver,2,2,1
8/22/2015,Disappointment Cleaver,2,0,0
8/21/2015,Disappointment Cleaver,2,2,1
8/21/2015,Emmons-Winthrop,5,0,0
8/21/2015,Kautz Glacier,4,4,1
8/21/2015,Emmons-Winthrop,4,4,1
8/21/2015,Disappointment Cleaver,2,0,0
8/21/2015,Disappointment Cleaver,12,2,0.166666667
8/21/2015,Disappointment Cleaver,11,7,0.636363636
8/21/2015,Disappointment Cleaver,4,0,0
8/21/2015,Disappointment Cleaver,2,2,1
8/21/2015,Disappointment Cleaver,2,0,0
8/21/2015,Disappointment Cleaver,4,3,0.75
8/21/2015,Disappointment Cleaver,2,2,1
8/21/2015,Disappointment Cleaver,7,7,1
8/21/2015,Disappointment Cleaver,4,4,1
8/21/2015,Disappointment Cleaver,4,4,1
8/21/2015,Disappointment Cleaver,2,0,0
8/21/2015,Disappointment Cleaver,1,2,2
8/20/2015,Disappointment Cleaver,5,0,0
8/20/2015,Disappointment Cleaver,6,6,1
8/20/2015,Disappointment Cleaver,2,2,1
8/20/2015,Disappointment Cleaver,2,0,0
8/20/2015,Disappointment Cleaver,11,6,0.545454545
8/20/2015,Disappointment Cleaver,12,9,0.75
8/20/2015,Disappointment Cleaver,2,0,0
8/20/2015,Disappointment Cleaver,12,11,0.916666667
8/19/2015,Disappointment Cleaver,2,0,0
8/19/2015,glacier only - no summit attempt,2,2,1
8/19/2015,Disappointment Cleaver,12,5,0.416666667
8/19/2015,Disappointment Cleaver,11,4,0.363636364
8/19/2015,Disappointment Cleaver,3,3,1
8/19/2015,Emmons-Winthrop,2,0,0
8/18/2015,Disappointment Cleaver,2,0,0
8/18/2015,Disappointment Cleaver,12,7,0.583333333
8/18/2015,Disappointment Cleaver,12,10,0.833333333
8/18/2015,Disappointment Cleaver,12,7,0.583333333
8/18/2015,Emmons-Winthrop,11,0,0
8/18/2015,Disappointment Cleaver,12,0,0
8/18/2015,Disappointment Cleaver,5,4,0.8
8/17/2015,Kautz Glacier,2,2,1
8/17/2015,Disappointment Cleaver,1,0,0
8/17/2015,Disappointment Cleaver,2,2,1
8/17/2015,Disappointment Cleaver,12,0,0
8/17/2015,Disappointment Cleaver,12,5,0.416666667
8/17/2015,Disappointment Cleaver,3,0,0
8/17/2015,Disappointment Cleaver,12,6,0.5
8/17/2015,Disappointment Cleaver,12,4,0.333333333
8/17/2015,Disappointment Cleaver,3,0,0
8/17/2015,Disappointment Cleaver,2,2,1
8/17/2015,Emmons-Winthrop,9,9,1
8/17/2015,Emmons-Winthrop,1,0,0
8/16/2015,Disappointment Cleaver,3,0,0
8/16/2015,Disappointment Cleaver,3,0,0
8/16/2015,Disappointment Cleaver,2,0,0
8/16/2015,Emmons-Winthrop,12,0,0
8/16/2015,Disappointment Cleaver,2,2,1
8/16/2015,Disappointment Cleaver,2,2,1
8/16/2015,Disappointment Cleaver,3,0,0
8/16/2015,Disappointment Cleaver,2,0,0
8/16/2015,Disappointment Cleaver,12,12,1
8/16/2015,Emmons-Winthrop,12,0,0
8/16/2015,Disappointment Cleaver,12,9,0.75
8/15/2015,Disappointment Cleaver,4,0,0
8/15/2015,Disappointment Cleaver,2,2,1
8/15/2015,Disappointment Cleaver,12,6,0.5
8/15/2015,Disappointment Cleaver,12,11,0.916666667
8/15/2015,Disappointment Cleaver,12,9,0.75
8/15/2015,Emmons-Winthrop,3,0,0
8/15/2015,Little Tahoma,2,2,1
8/15/2015,Emmons-Winthrop,4,4,1
8/15/2015,Emmons-Winthrop,5,0,0
8/15/2015,Disappointment Cleaver,2,2,1
8/15/2015,Disappointment Cleaver,3,0,0
8/15/2015,Disappointment Cleaver,2,0,0
8/15/2015,Disappointment Cleaver,1,1,1
8/15/2015,Disappointment Cleaver,2,2,1
8/15/2015,Disappointment Cleaver,2,2,1
8/14/2015,Disappointment Cleaver,2,0,0
8/14/2015,Disappointment Cleaver,4,4,1
8/14/2015,Disappointment Cleaver,10,10,1
8/14/2015,Disappointment Cleaver,4,0,0
8/14/2015,Disappointment Cleaver,2,0,0
8/14/2015,Disappointment Cleaver,2,0,0
8/14/2015,Disappointment Cleaver,5,2,0.4
8/14/2015,Disappointment Cleaver,3,0,0
8/14/2015,Disappointment Cleaver,2,0,0
8/14/2015,Disappointment Cleaver,3,0,0
8/14/2015,Disappointment Cleaver,2,0,0
8/14/2015,Disappointment Cleaver,8,0,0
8/14/2015,Disappointment Cleaver,8,0,0
8/14/2015,Disappointment Cleaver,11,0,0
8/14/2015,Disappointment Cleaver,12,0,0
8/13/2015,Disappointment Cleaver,12,9,0.75
8/13/2015,Disappointment Cleaver,10,9,0.9
8/13/2015,Disappointment Cleaver,4,0,0
8/13/2015,Disappointment Cleaver,7,0,0
8/12/2015,Disappointment Cleaver,2,2,1
8/12/2015,Emmons-Winthrop,4,0,0
8/12/2015,Disappointment Cleaver,2,2,1
8/12/2015,Emmons-Winthrop,2,2,1
8/12/2015,Disappointment Cleaver,11,6,0.545454545
8/12/2015,Disappointment Cleaver,11,7,0.636363636
8/12/2015,Disappointment Cleaver,9,0,0
8/12/2015,Disappointment Cleaver,3,3,1
8/12/2015,Disappointment Cleaver,2,2,1
8/12/2015,Disappointment Cleaver,6,0,0
8/12/2015,Kautz Glacier,3,0,0
8/11/2015,Disappointment Cleaver,3,3,1
8/11/2015,Disappointment Cleaver,2,0,0
8/11/2015,Disappointment Cleaver,4,4,1
8/11/2015,Disappointment Cleaver,2,0,0
8/11/2015,Disappointment Cleaver,12,0,0
8/11/2015,Emmons-Winthrop,12,0,0
8/11/2015,Disappointment Cleaver,12,0,0
8/11/2015,Disappointment Cleaver,12,0,0
8/11/2015,Disappointment Cleaver,2,2,1
8/11/2015,Kautz Glacier,10,0,0
8/11/2015,Disappointment Cleaver,12,10,0.833333333
8/11/2015,Disappointment Cleaver,2,2,1
8/11/2015,Disappointment Cleaver,5,0,0
8/10/2015,Disappointment Cleaver,2,0,0
8/10/2015,Disappointment Cleaver,3,0,0
8/10/2015,Emmons-Winthrop,12,8,0.666666667
8/10/2015,Disappointment Cleaver,12,0,0
8/10/2015,Disappointment Cleaver,12,9,0.75
8/10/2015,Disappointment Cleaver,12,0,0
8/10/2015,Disappointment Cleaver,2,0,0
8/9/2015,Emmons-Winthrop,12,7,0.583333333
8/9/2015,Emmons-Winthrop,12,12,1
8/9/2015,Disappointment Cleaver,3,1,0.333333333
8/9/2015,Disappointment Cleaver,4,4,1
8/9/2015,Disappointment Cleaver,4,0,0
8/9/2015,Disappointment Cleaver,12,10,0.833333333
8/9/2015,Disappointment Cleaver,12,10,0.833333333
8/9/2015,Kautz Glacier,10,0,0
8/8/2015,Disappointment Cleaver,3,0,0
8/8/2015,Emmons-Winthrop,1,0,0
8/8/2015,Disappointment Cleaver,2,0,0
8/8/2015,Disappointment Cleaver,12,12,1
8/8/2015,Disappointment Cleaver,12,10,0.833333333
8/8/2015,Disappointment Cleaver,12,2,0.166666667
8/8/2015,Disappointment Cleaver,2,0,0
8/8/2015,Disappointment Cleaver,3,0,0
8/8/2015,Disappointment Cleaver,3,0,0
8/8/2015,Disappointment Cleaver,2,0,0
8/7/2015,Disappointment Cleaver,5,0,0
8/7/2015,Disappointment Cleaver,3,3,1
8/7/2015,Disappointment Cleaver,2,0,0
8/7/2015,Disappointment Cleaver,2,0,0
8/7/2015,Disappointment Cleaver,4,0,0
8/7/2015,Disappointment Cleaver,2,0,0
8/7/2015,Disappointment Cleaver,4,0,0
8/7/2015,Disappointment Cleaver,2,2,1
8/7/2015,Disappointment Cleaver,8,8,1
8/7/2015,Disappointment Cleaver,11,8,0.727272727
8/7/2015,Disappointment Cleaver,1,1,1
8/7/2015,Disappointment Cleaver,12,9,0.75
8/7/2015,Disappointment Cleaver,12,6,0.5
8/7/2015,Disappointment Cleaver,12,6,0.5
8/7/2015,Disappointment Cleaver,12,10,0.833333333
8/7/2015,Disappointment Cleaver,12,12,1
8/7/2015,Disappointment Cleaver,1,0,0
8/7/2015,Disappointment Cleaver,11,7,0.636363636
8/6/2015,Disappointment Cleaver,8,8,1
8/6/2015,Disappointment Cleaver,3,3,1
8/6/2015,Emmons-Winthrop,4,0,0
8/6/2015,Emmons-Winthrop,3,0,0
8/6/2015,Disappointment Cleaver,2,0,0
8/6/2015,Disappointment Cleaver,2,0,0
8/6/2015,Disappointment Cleaver,6,4,0.666666667
8/6/2015,Disappointment Cleaver,3,3,1
8/6/2015,Disappointment Cleaver,4,0,0
8/6/2015,Disappointment Cleaver,2,0,0
8/6/2015,Disappointment Cleaver,2,0,0
8/6/2015,Disappointment Cleaver,3,0,0
8/6/2015,Disappointment Cleaver,12,0,0
8/6/2015,Disappointment Cleaver,12,6,0.5
8/6/2015,Disappointment Cleaver,12,9,0.75
8/6/2015,Kautz Glacier,2,2,1
8/6/2015,Disappointment Cleaver,4,0,0
8/6/2015,Disappointment Cleaver,3,3,1
8/6/2015,Disappointment Cleaver,11,8,0.727272727
8/6/2015,Disappointment Cleaver,3,0,0
8/6/2015,Disappointment Cleaver,2,2,1
8/6/2015,Disappointment Cleaver,1,0,0
8/5/2015,Disappointment Cleaver,6,0,0
8/5/2015,Disappointment Cleaver,2,0,0
8/5/2015,Disappointment Cleaver,3,3,1
8/5/2015,Emmons-Winthrop,2,0,0
8/5/2015,Disappointment Cleaver,2,2,1
8/5/2015,Disappointment Cleaver,5,0,0
8/5/2015,Disappointment Cleaver,8,0,0
8/5/2015,Disappointment Cleaver,11,4,0.363636364
8/5/2015,Disappointment Cleaver,11,6,0.545454545
8/5/2015,Disappointment Cleaver,11,10,0.909090909
8/5/2015,Disappointment Cleaver,2,2,1
8/5/2015,Disappointment Cleaver,3,0,0
8/5/2015,Disappointment Cleaver,2,0,0
8/4/2015,Disappointment Cleaver,2,0,0
8/4/2015,Emmons-Winthrop,2,2,1
8/4/2015,Emmons-Winthrop,12,10,0.833333333
8/4/2015,Disappointment Cleaver,12,8,0.666666667
8/4/2015,Disappointment Cleaver,12,12,1
8/4/2015,Disappointment Cleaver,12,12,1
8/4/2015,Kautz Glacier,10,6,0.6
8/4/2015,Disappointment Cleaver,2,2,1
8/4/2015,Disappointment Cleaver,2,0,0
8/4/2015,Disappointment Cleaver,3,0,0
8/3/2015,Disappointment Cleaver,8,0,0
8/3/2015,Disappointment Cleaver,5,4,0.8
8/3/2015,Disappointment Cleaver,2,0,0
8/3/2015,Disappointment Cleaver,3,0,0
8/3/2015,Disappointment Cleaver,2,0,0
8/3/2015,Disappointment Cleaver,8,8,1
8/3/2015,Disappointment Cleaver,12,11,0.916666667
8/3/2015,Emmons-Winthrop,12,5,0.416666667
8/3/2015,Disappointment Cleaver,12,9,0.75
8/3/2015,Disappointment Cleaver,3,3,1
8/3/2015,Disappointment Cleaver,3,3,1
