BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS,2,716,1246,,R4,"447 WEST 18TH STREET, PH12A",PH12A,10011,1,0,1,"10,733",1979,2007,2,R4,$   - 0,01/01/2019
1,FASHION,21 OFFICE BUILDINGS,4,812,68,,O5,144 WEST 37TH STREET,,10018,0,6,6,"2,962",15435,1920,4,O5,$   - 0,01/01/2019
1,FASHION,21 OFFICE BUILDINGS,4,839,69,,O5,40 WEST 38TH STREET,,10018,0,7,7,"2,074",11332,1930,4,O5,$   - 0,01/01/2019
1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS,2,592,1041,,R4,"1 SHERIDAN SQUARE, 8C",8C,10014,1,0,1,0,500,0,2,R4,$   - 0,01/01/2019
1,UPPER EAST SIDE (59-79),15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,1379,1402,,R1,"20 EAST 65TH STREET, B",B,10065,1,0,1,0,6406,0,2,R1,$   - 0,01/01/2019
1,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,2B,1551,131,,C4,354 EAST 89TH STREET,,10128,10,0,10,"2,013",6570,1920,2,C4,$   - 0,01/01/2019
1,UPPER WEST SIDE (96-116),07 RENTALS - WALKUP APARTMENTS,2B,1891,159,,C4,304 WEST 106 STREET,,10025,10,0,10,"1,716",5810,1900,2,C4,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS,1,4090,37,,A1,1193 SACKET AVENUE,,10461,1,0,1,"3,404",1328,1925,1,A1,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS,1,4120,18,,A5,1215 VAN NEST AVENUE,,10461,1,0,1,"2,042",1728,1935,1,A5,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS,1,4120,20,,A5,1211 VAN NEST AVENUE,,10461,1,0,1,"2,042",1728,1935,1,A5,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,02 TWO FAMILY DWELLINGS,1,4120,19,,B1,1213 VAN NEST AVENUE,,10461,2,0,2,"2,042",2208,1935,1,B1,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,05 TAX CLASS 1 VACANT LAND,1B,4090,17,,V0,1190 PIERCE AVENUE,,10461,0,0,0,"5,777",0,0,1,V0,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,29 COMMERCIAL GARAGES,4,4120,7,,G7,1216 MORRIS PARK AVENUE,,10461,0,0,0,"2,250",0,0,4,G7,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,29 COMMERCIAL GARAGES,4,4120,8,,G7,1228 MORRIS PARK AVENUE,,10461,0,0,0,"17,922",0,0,4,G7,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,29 COMMERCIAL GARAGES,4,4120,12,,G7,N/A NEWPORT AVENUE,,0,0,0,0,680,0,0,4,G7,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,29 COMMERCIAL GARAGES,4,4120,16,,G7,1219 VAN NEST AVENUE,,10461,0,0,0,"1,825",0,0,4,G7,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,29 COMMERCIAL GARAGES,4,4120,17,,G7,1217 VAN NEST AVENUE,,10461,0,0,0,"2,042",0,0,4,G7,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,32 HOSPITAL AND HEALTH FACILITIES,4,4117,1,,I9,1250 MORRIS PARK,,10461,0,7,7,"480,000",1303935,1954,4,I9,$   - 0,01/01/2019
2,MORRIS PARK/VAN NEST,33 EDUCATIONAL FACILITIES,4,4090,19,,W6,1196 PIERCE AVENUE,,10461,0,1,1,"23,500",12170,1954,4,W6,$   - 0,01/01/2019
2,PELHAM PARKWAY SOUTH,08 RENTALS - ELEVATOR APARTMENTS,2,4222,84,,D3,1579 RHINELANDER AVENUE,,10461,130,0,130,"52,200",140628,1961,2,D3,$   - 0,01/01/2019
2,PELHAM PARKWAY SOUTH,21 OFFICE BUILDINGS,4,4203,82,,O7,1201 MORRIS PARK AVENUE,,10461,0,1,1,"9,900",4391,1955,4,O7,$   - 0,01/01/2019
