NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE,SALE_DATE
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"181 HUDSON STREET, 6D",6D,10013.0,1840.0,1909.0,2800000,2019-01-03
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"10 LITTLE WEST STREET, 19A",19A,10004.0,1759.0,0.0,2650000,2019-01-07
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"30 LITTLE WEST STREET, 7G",7G,10004.0,1190.0,2005.0,1005000,2019-01-09
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"2 RIVER TERRACE, 4C",4C,0.0,1088.0,2006.0,1678000,2019-01-10
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"380 RECTOR PLACE, 10A",10A,10280.0,873.0,0.0,1380000,2019-01-11
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 37W",37W,10007.0,2279.0,2016.0,6924100,2019-01-14
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"300 ALBANY STREET, 9M",9M,10280.0,695.0,1986.0,501000,2019-01-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"1 RIVER TERRACE, 9M",9M,0.0,1449.0,2006.0,2400000,2019-01-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 43W",43W,10007.0,2279.0,2016.0,9316988,2019-01-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"443 GREENWICH STREET, 3C",3C,10013.0,3227.0,1905.0,10200000,2019-01-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"140 WEST STREET, 11K",11K,10007.0,2249.0,1930.0,4100000,2019-01-16
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"7 HUBERT STREET, M9C",M9C,10013.0,4663.0,2004.0,7200000,2019-01-18
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"412 GREENWICH STREET, PHC",PHC,10013.0,4986.0,1915.0,13240000,2019-01-18
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"195 HUDSON STREET, 2C",2C,10013.0,2436.0,0.0,4900000,2019-01-18
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"101 WARREN STREET, 1550",1550,10007.0,1920.0,2006.0,3870000,2019-01-23
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"295 GREENWICH STREET, 8J-N",8JN,10007.0,432.0,1987.0,640000,2019-01-24
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"140 WEST STREET, 11Q",11Q,10007.0,2063.0,1930.0,4750000,2019-01-25
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 46W",46W,10007.0,3208.0,2016.0,11648526,2019-01-25
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"275 GREENWICH STREET, 6LS",6LS,10007.0,868.0,1987.0,1090000,2019-01-29
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 34W",34W,10007.0,2279.0,2016.0,4400000,2019-01-29
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 44W",44W,10007.0,2289.0,2016.0,8909688,2019-01-30
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 47W",47W,10007.0,3217.0,2016.0,12376829,2019-01-30
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"415 WASHINGTON STREET, THB",1B,10013.0,3500.0,2010.0,8000000,2019-01-30
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"275 GREENWICH STREET, 4BS",4BS,10007.0,748.0,1987.0,999500,2019-01-31
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"412 GREENWICH STREET, 2F",2F,10013.0,2409.0,1915.0,5350000,2019-01-31
