,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
0,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,scattered,urban
1,edible,convex,smooth,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
2,edible, bell,smooth,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
3,poisonous,convex,scaly,white,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,scattered,urban
4,edible,convex,smooth,gray,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,brown,abundant,grasses
5,edible,convex,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
6,edible, bell,smooth,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
7,edible, bell,scaly,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
8,poisonous,convex,scaly,white,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,grasses
9,edible, bell,smooth,yellow,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
10,edible,convex,scaly,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
11,edible,convex,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
12,edible, bell,smooth,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
13,poisonous,convex,scaly,white,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
14,edible,convex,fibrous,brown,False,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,p,white,1,evanescent,black,abundant,grasses
