,city_name,package,variety,date,origin,origin_district,item_size,color,unit_of_sale,repack,organic,price
0,ATLANTA,24 inch bins,HOWDEN TYPE,2016-09-24,MICHIGAN,,jumbo,,,N,False,147.375
1,ATLANTA,24 inch bins,HOWDEN TYPE,2016-09-24,MICHIGAN,,extra large,,,N,False,149.875
2,ATLANTA,24 inch bins,HOWDEN TYPE,2016-09-24,MICHIGAN,,medium large,,,N,False,152.375
3,ATLANTA,24 inch bins,HOWDEN TYPE,2016-09-24,MICHIGAN,,small,,,N,False,150.0
4,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-01,MICHIGAN,,jumbo,,,N,False,147.375
5,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-01,MICHIGAN,,extra large,,,N,False,149.875
6,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-01,MICHIGAN,,medium large,,,N,False,152.375
7,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-01,MICHIGAN,,small,,,N,False,150.0
8,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-08,MICHIGAN,,jumbo,,,N,False,147.375
9,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-08,MICHIGAN,,extra large,,,N,False,149.875
10,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-08,MICHIGAN,,medium large,,,N,False,152.375
11,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-08,MICHIGAN,,small,,,N,False,150.0
12,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-15,ALABAMA,,medium,,,N,False,142.5
13,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-15,MICHIGAN,,jumbo,,,N,False,147.375
14,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-15,MICHIGAN,,extra large,,,N,False,149.875
15,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-15,MICHIGAN,,medium large,,,N,False,152.375
16,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-15,MICHIGAN,,small,,,N,False,150.0
17,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-22,ALABAMA,,medium,,,N,False,142.5
