,Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
0,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-09-24,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
1,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-09-24,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
2,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-09-24,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
3,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-09-24,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
4,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-01,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
5,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-01,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
6,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-01,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
7,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-01,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
8,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-08,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
9,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-08,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
10,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-08,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
11,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-08,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
12,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,140.0,145.0,140.0,145.0,ALABAMA,,med,,,,,,,,,N,
13,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
14,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
15,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
16,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
17,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-22,140.0,145.0,140.0,145.0,ALABAMA,,med,,,,,,,,,N,
18,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-22,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
19,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-22,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
20,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-22,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
21,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-22,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
22,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-29,140.0,145.0,140.0,145.0,ALABAMA,,med,,,,,,,,,N,
23,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-29,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
24,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-29,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
25,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-29,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
26,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-29,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
27,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-11-05,140.0,145.0,140.0,145.0,ALABAMA,,med,,,,,,,,,N,
28,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-11-05,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
29,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-11-05,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
30,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-11-05,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
31,PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-11-05,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
