,room_id,host_id,room_type,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,last_modified,latitude,longitude,location,name,currency,rate_type
0,2318,2536,Entire home/apt,"Seattle, WA, United States",21,5.0,8,4.0,2.5,250,2018-12-20 03:46:14.698548,47.610819,-122.29081599999999,0101000020E6100000D449B6BA9C925EC0416326512FCE4740,"Casa Madrona - Urban Oasis, 1 block from the Park!",USD,nightly
1,3335,4193,Entire home/apt,"Seattle, WA, United States",1,,4,2.0,1.0,100,2018-12-20 04:08:45.277643,47.529846,-122.27583999999999,0101000020E61000006FBBD05CA7915EC04DF564FED1C34740,Sweet Seattle Urban Homestead 2 Bdr,USD,nightly
2,4291,35749,Private room,"Seattle, WA, United States",63,4.5,2,1.0,1.0,82,2018-12-20 03:04:19.861014,47.687801,-122.313427,0101000020E6100000BDAB1E300F945EC0FB93F8DC09D84740,Sunrise in Seattle Master Suite,USD,nightly
3,5682,8993,Entire home/apt,"Seattle, WA, United States",462,5.0,2,0.0,1.0,49,2018-12-20 04:11:25.482975,47.52398,-122.35989099999999,0101000020E6100000FCC7427408975EC009E1D1C611C34740,"Cozy Studio, min. to downtown -WiFi",USD,nightly
4,6606,14942,Entire home/apt,"Seattle, WA, United States",134,4.5,2,1.0,1.0,90,2018-12-20 03:12:38.391711,47.654109000000005,-122.33760500000001,0101000020E6100000D47D00529B955EC07782FDD7B9D34740,"Fab, private seattle urban cottage!",USD,nightly
5,9419,30559,Private room,"Seattle, WA, United States",130,4.5,2,1.0,3.0,65,2018-12-20 04:08:20.099202,47.550167,-122.31936599999999,0101000020E6100000145D177E70945EC0522B4CDF6BC64740,Glorious sun room w/ memory foambed,USD,nightly
6,9460,30832,Private room,"Seattle, WA, United States",401,5.0,2,1.0,1.0,78,2018-12-20 03:45:03.853262,47.60801,-122.32873899999998,0101000020E6100000DD7A4D0F0A955EC00BD28C45D3CD4740,Downtown/Convention Ctr B&B - Nice!,USD,nightly
7,9531,31481,Entire home/apt,"Seattle, WA, United States",35,5.0,4,2.0,1.0,165,2018-12-20 04:12:23.644451,47.555389,-122.384739,0101000020E6100000BA9F53909F985EC071C79BFC16C74740,The Adorable Sweet Orange Craftsman,USD,nightly
8,9534,31481,Entire home/apt,"Seattle, WA, United States",36,5.0,3,2.0,1.0,95,2018-12-20 04:11:31.085822,47.556236,-122.385981,0101000020E610000027F8A6E9B3985EC0CE6DC2BD32C74740,The Coolest Tangerine Dream MIL! ,USD,nightly
9,9596,14942,Entire home/apt,"Seattle, WA, United States",76,4.5,4,1.0,1.0,115,2018-12-20 03:15:01.176545,47.654787,-122.33652,0101000020E6100000CB9C2E8B89955EC0486C770FD0D34740,"the down home , spacious, central and fab!",USD,nightly
10,9909,33360,Entire home/apt,"Seattle, WA, United States",57,5.0,4,2.0,1.0,135,2018-12-20 04:05:07.397353,47.56612,-122.372726,0101000020E61000009C1727BEDA975EC046CEC29E76C84740,Luna Park Lower - West Seattle,USD,nightly
11,10209,31553,Private room,"Seattle, WA, United States",36,4.5,1,0.0,1.5,50,2018-12-20 04:12:25.348245,47.553646,-122.363257,0101000020E6100000C2C2499A3F975EC0D6C743DFDDC64740,Stay here for a blast!!!!  Holiday sale,USD,nightly
12,10385,35749,Private room,"Seattle, WA, United States",94,4.5,2,1.0,,41,2018-12-20 03:04:34.825007,47.695719,-122.311944,0101000020E6100000BD8BF7E3F6935EC0581AF8510DD94740,Upscale Seattle Hotel Alternative ,USD,nightly
13,10695,35749,Private room,"Seattle, WA, United States",20,5.0,4,1.0,1.0,109,2018-12-20 03:02:32.376318,47.697201,-122.31348100000001,0101000020E6100000B6BA9C1210945EC087DEE2E13DD94740,Private 2 Rooms & 1 Bath ,USD,nightly
14,11012,14942,Entire home/apt,"Seattle, WA, United States",80,5.0,8,3.0,2.0,250,2018-12-20 03:15:01.178059,47.654477,-122.33646399999999,0101000020E610000002124DA088955EC0FA7DFFE6C5D34740,"the orange house, quiet 'n central",USD,nightly
15,14386,39377,Private room,"Seattle, WA, United States",125,4.5,2,1.0,1.5,37,2018-12-20 02:59:19.368269,47.687246,-122.334696,0101000020E61000008786C5A86B955EC046274BADF7D74740,Quiet Cozy Upstairs BR Green Lake,USD,nightly
16,15108,39377,Private room,"Seattle, WA, United States",70,4.5,6,3.0,1.5,50,2018-12-20 03:04:35.914351,47.688266,-122.335856,0101000020E6100000960A2AAA7E955EC07079AC1919D84740,Green Lake Private Ground Floor BR,USD,nightly
17,15749,61636,Private room,"Seattle, WA, United States",17,4.5,1,1.0,1.0,100,2018-12-20 03:04:34.839843,47.684072,-122.32648799999998,0101000020E610000055A2EC2DE5945EC0FE0DDAAB8FD74740,Green Lake guest room with active family,USD,nightly
18,17951,33360,Entire home/apt,"Seattle, WA, United States",89,5.0,2,0.0,1.0,72,2018-12-20 04:11:25.480438,47.554840000000006,-122.385124,0101000020E6100000E73922DFA5985EC09E4143FF04C74740,"West Seattle, The Starlight Studio",USD,nightly
19,18042,69549,Entire home/apt,"Kirkland, WA, United States",78,4.5,2,1.0,1.0,60,2018-12-20 02:56:32.551406,47.685396999999995,-122.180699,0101000020E6100000E0DA8992908B5EC065E3C116BBD74740,Lake Forbes Cottage,USD,nightly
20,19619,74305,Entire home/apt,"Seattle, WA, United States",76,5.0,4,1.0,1.0,140,2018-12-20 03:58:36.490332,47.614471,-122.348145,0101000020E61000000551F70148965EC093AB58FCA6CE4740,Lively Vacation Home in Seattle with Puget Sound Views,USD,nightly
21,20868,35749,Entire home/apt,"Seattle, WA, United States",119,4.5,6,2.0,1.0,99,2018-12-20 03:04:20.707547,47.695386,-122.313075,0101000020E61000007E8CB96B09945EC0520C906802D94740,"Newly Remodeled ""Boho Modern"" in Mapleleaf",USD,nightly
22,20927,79450,Entire home/apt,"Seattle, WA, United States",489,5.0,2,1.0,1.0,59,2018-12-20 02:58:36.953496,47.673339,-122.39511999999999,0101000020E6100000B77F65A549995EC0880FECF82FD64740,Cottage in the Heart of Ballard,USD,nightly
23,20928,79450,Private room,"Seattle, WA, United States",272,5.0,2,1.0,1.0,45,2018-12-20 02:58:36.335259,47.673607000000004,-122.393803,0101000020E610000045847F1134995EC0A7AD11C138D64740,Victorian in the Heart of Ballard,USD,nightly
24,23192,90437,Entire home/apt,"Seattle, WA, United States",98,5.0,5,1.0,1.0,77,2018-12-20 03:23:04.167704,47.622366,-122.315918,0101000020E6100000EF8D210038945EC0381268B0A9CF4740,Large Modern Unit - 3 blocks from the light-rail,USD,nightly
25,23356,91286,Entire home/apt,"Seattle, WA, United States",19,4.0,10,3.0,2.0,180,2018-12-20 04:08:44.60656,47.534188,-122.281393,0101000020E6100000B114C95702925EC034F5BA4560C44740,3bd 2bt great bargain  sleep 8-10,USD,nightly
26,23403,91519,Private room,"Bellevue, WA, United States",17,5.0,2,1.0,1.0,75,2018-12-20 03:39:13.307244,47.611366,-122.11934199999999,0101000020E610000083C2A04CA3875EC073F1B73D41CE4740,"Fully furnished room ""A""",USD,nightly
28,24212,74305,Entire home/apt,"Seattle, WA, United States",79,4.5,6,2.0,1.0,162,2018-12-20 03:59:39.204725,47.614471,-122.348145,0101000020E61000000551F70148965EC093AB58FCA6CE4740,SALE 12/27★PERFECT Getaway w/ Views★,USD,nightly
29,25002,102684,Entire home/apt,"Seattle, WA, United States",687,5.0,4,1.0,1.0,70,2018-12-20 02:58:36.967441,47.679412,-122.37053999999999,0101000020E6100000087767EDB6975EC04641F0F8F6D64740,"Beautiful, Private Spot in Quiet Ballard",USD,nightly
30,26116,110248,Entire home/apt,"Seattle, WA, United States",143,5.0,4,2.0,1.0,269,2018-12-20 03:25:18.923319,47.618297999999996,-122.325562,0101000020E610000081B4FF01D6945EC053978C6324CF4740,2-bedroom Capitol Hill Pied-à-terre,USD,nightly
31,26795,114228,Entire home/apt,"Seattle, WA, United States",59,4.5,5,2.0,1.0,165,2018-12-20 03:20:48.658321,47.639526000000004,-122.328379,0101000020E61000005D6C5A2904955EC08978EBFCDBD14740,Lake Union Cottage - Shore and Cityview,USD,nightly
32,30712,107605,Entire home/apt,"Seattle, WA, United States",85,4.0,3,1.0,1.0,75,2018-12-20 03:05:19.649623,47.678901,-122.381863,0101000020E61000005B23827170985EC0611C5C3AE6D64740,Cozy Ballard Apartment,USD,nightly
33,37234,160789,Entire home/apt,"Seattle, WA, United States",3,4.0,2,1.0,1.0,85,2018-12-20 03:09:28.428753,47.688047999999995,-122.39231000000001,0101000020E610000033F9669B1B995EC0030AF5F411D84740,Your Home Away From Home.  Private Parking onsite.,USD,nightly
34,38338,164430,Entire home/apt,"Kirkland, WA, United States",55,5.0,2,1.0,1.0,125,2018-12-20 02:55:07.467119,47.687503,-122.200172,0101000020E6100000CB64389ECF8C5EC071732A1900D84740,Quiet MIL in downtown Kirkland,USD,nightly
35,38545,165390,Entire home/apt,"Seattle, WA, United States",93,5.0,8,3.0,2.5,295,2018-12-20 03:15:00.254732,47.653240000000004,-122.341553,0101000020E610000072361D01DC955EC032384A5E9DD34740,"en-suite, fireplace,chef kitchen. no car needed!",USD,nightly
37,41401,180441,Entire home/apt,"Seattle, WA, United States",28,5.0,4,1.0,1.0,95,2018-12-20 04:08:45.280501,47.560349,-122.31402299999999,0101000020E610000047CCECF318945EC054AC1A84B9C74740,Home Away From Home - MIL Suite    ,USD,nightly
38,43373,189356,Private room,"Seattle, WA, United States",228,4.5,2,1.0,1.0,44,2018-12-20 03:10:05.632042,47.650552000000005,-122.33058899999999,0101000020E6100000B6DAC35E28955EC0772CB64945D34740,Big sunny central house with view!,USD,nightly
39,47491,215230,Private room,"Seattle, WA, United States",43,4.5,1,1.0,1.0,60,2018-12-20 03:03:40.180025,47.692465000000006,-122.28688400000001,0101000020E6100000B96FB54E5C925EC0F44F70B1A2D84740,Tranquil Rooms at Maple Creek House,USD,nightly
40,48848,212404,Entire home/apt,"Seattle, WA, United States",39,5.0,2,1.0,1.0,110,2018-12-20 02:57:16.924826,47.671587,-122.259947,0101000020E61000005FECBDF8A2905EC09AB51490F6D54740,green suite seattle - dog friendly,USD,nightly
41,51748,91519,Private room,"Bellevue, WA, United States",6,4.5,1,1.0,1.0,75,2018-12-20 03:39:13.310269,47.609575,-122.120515,0101000020E61000005BEB8B84B6875EC0C7BAB88D06CE4740,"Fully Furnished Room ""B""",USD,nightly
42,52525,215230,Private room,"Seattle, WA, United States",29,4.5,1,1.0,1.0,40,2018-12-20 03:03:40.671875,47.692701,-122.28547900000001,0101000020E6100000772CB64945925EC00874266DAAD84740,Maple Creek House in Wedgwood,USD,nightly
43,58503,157262,Entire home/apt,"Seattle, WA, United States",217,4.5,4,2.0,1.0,62,2018-12-20 02:58:36.963391,47.679466999999995,-122.3566,0101000020E61000003B70CE88D2965EC00ADB4FC6F8D64740,Spacious Private Daylight Basement Apartment,USD,nightly
44,63733,311363,Entire home/apt,"Seattle, WA, United States",213,5.0,2,1.0,1.0,79,2018-12-20 03:05:54.349378,47.671714,-122.36588799999998,0101000020E6100000ED7F80B56A975EC0F7216FB9FAD54740,Seattle- Ballard Guestsuite -,USD,nightly
45,66540,215230,Private room,"Seattle, WA, United States",25,5.0,1,1.0,1.0,50,2018-12-20 03:03:40.18878,47.694208,-122.286249,0101000020E6100000D06053E751925EC0904FC8CEDBD84740,Large Tranquil Room in Wedgwood,USD,nightly
46,66611,215230,Private room,"Seattle, WA, United States",24,4.5,1,1.0,1.0,40,2018-12-20 03:01:19.483368,47.692815,-122.28533600000002,0101000020E6100000C617EDF142925EC0D1967329AED84740,Study Den in Tranquil Setting,USD,nightly
47,67270,331573,Private room,"Seattle, WA, United States",178,5.0,2,1.0,1.0,70,2018-12-20 04:08:45.273457,47.561681,-122.272123,0101000020E6100000525F96766A915EC06DE4BA29E5C74740,"Light and airy, steps to the Lake.",USD,nightly
48,69004,75946,Private room,"Redmond, WA, United States",5,4.5,2,1.0,1.0,100,2018-12-20 02:57:33.386242,47.661317,-122.13075500000001,0101000020E61000007632384A5E885EC0F8A41309A6D44740,Master BDR private Bath & SPA,USD,nightly
49,76565,232785,Private room,"Seattle, WA, United States",10,5.0,2,1.0,1.0,55,2018-12-20 04:12:46.4508,47.547002,-122.354441,0101000020E610000023D74D29AF965EC05D6C5A2904C64740,Quiet Room in West Seattle,USD,nightly
50,78963,75946,Private room,"Redmond, WA, United States",7,4.5,1,1.0,1.5,30,2018-12-20 02:57:33.391093,47.662076,-122.13248300000001,0101000020E6100000A911FA997A885EC0B6BB07E8BED44740,★★★★★★MS Redmond RM6,USD,nightly
51,78965,75946,Private room,"Redmond, WA, United States",14,5.0,1,1.0,1.5,33,2018-12-20 02:53:33.774833,47.6624,-122.131469,0101000020E610000005DCF3FC69885EC0696FF085C9D44740,★★★Microsoft Redmond RM3,USD,nightly
52,78969,75946,Private room,"Redmond, WA, United States",7,4.0,1,1.0,1.5,33,2018-12-20 02:58:05.52663,47.660809,-122.131052,0101000020E6100000D384ED2763885EC084F3A96395D44740,★★★★★ Microsoft Redmond RM5,USD,nightly
53,78975,75946,Private room,"Redmond, WA, United States",4,5.0,1,1.0,2.0,35,2018-12-20 02:58:05.524014,47.660885,-122.132493,0101000020E6100000BB7CEBC37A885EC05FB532E197D44740,★★★★★★★★Microsoft Redmond RM8,USD,nightly
54,78980,75946,Private room,"Redmond, WA, United States",10,4.5,1,1.0,1.5,33,2018-12-20 02:57:33.383092,47.661039,-122.132152,0101000020E61000007786A92D75885EC0B6300BED9CD44740,★★Microsoft Redmond RM2,USD,nightly
55,79321,427101,Private room,"Bellevue, WA, United States",76,5.0,2,1.0,1.0,55,2018-12-20 02:58:05.525833,47.616533000000004,-122.135776,0101000020E61000003BE5D18DB0885EC0CFF3A78DEACE4740,"Bellevue, WA room w/ toilet & bath",USD,nightly
56,86185,192355,Private room,"Seattle, WA, United States",63,4.5,2,1.0,1.0,65,2018-12-20 04:05:14.596049,47.582392,-122.394478,0101000020E6100000753FA7203F995EC0DCB930D28BCA4740,West Seattle: Admiral calm & quiet,USD,nightly
57,103908,541406,Entire home/apt,"Seattle, WA, United States",17,4.5,4,1.0,1.0,200,2018-12-20 03:04:35.909071,47.684273,-122.32661599999999,0101000020E61000006C96CB46E7945EC09544F64196D74740,Green Lake Gem - Walk to Lake,USD,nightly
58,103920,541406,Entire home/apt,"Seattle, WA, United States",19,4.5,6,2.0,1.0,200,2018-12-20 03:04:19.862206,47.684157,-122.325972,0101000020E610000059DAA9B9DC945EC02C2AE27492D74740,Green Lake Spacious Two Bedrooms - Walk to Lake!,USD,nightly
59,107884,331494,Entire home/apt,"Seattle, WA, United States",114,5.0,3,1.0,1.0,75,2018-12-20 03:42:59.517939,47.579996,-122.402045,0101000020E61000004DA1F31ABB995EC0C9E7154F3DCA4740,West Seattle/Alki Beach House,USD,nightly
60,107962,112093,Entire home/apt,"Seattle, WA, United States",219,5.0,2,1.0,1.0,120,2018-12-20 02:59:53.392584,47.714884999999995,-122.33296399999999,0101000020E6100000B4AF3C484F955EC053B3075A81DB4740,Haller Lake Restored Log Cabin,USD,nightly
61,108765,541908,Entire home/apt,"Seattle, WA, United States",57,5.0,2,1.0,1.0,115,2018-12-20 04:08:23.854138,47.552566,-122.30435,0101000020E610000068226C787A935EC0D670917BBAC64740,Beacon Hill Cottage in the City,USD,nightly
62,116221,587302,Entire home/apt,"Seattle, WA, United States",38,5.0,2,1.0,1.0,135,2018-12-20 03:29:03.271423,47.654371000000005,-122.357454,0101000020E6100000C3F4BD86E0965EC0B439CE6DC2D34740,"Modern, Light-Filled Fremont Flat",USD,nightly
63,117165,559827,Private room,"Seattle, WA, United States",126,5.0,2,1.0,1.0,100,2018-12-20 04:05:10.390657,47.568739,-122.40648799999998,0101000020E6100000DA8D3EE6039A5EC0D97A8670CCC84740,Suite+Office in Gorgeous View Home,USD,nightly
64,119103,601600,Entire home/apt,"Seattle, WA, United States",350,5.0,3,1.0,1.0,79,2018-12-20 03:27:24.79116,47.652309,-122.35000500000001,0101000020E6100000EF1B5F7B66965EC078F17EDC7ED34740,Teeny Tiny Guestyhouse!,USD,nightly
65,132120,378445,Entire home/apt,"Seattle, WA, United States",88,5.0,4,1.0,1.0,64,2018-12-20 03:12:43.742079,47.669228000000004,-122.335174,0101000020E61000000C1EA67D73955EC0A3C85A43A9D54740,Mother-in-Law Apartment in Seattle,USD,nightly
66,132160,558743,Entire home/apt,"Seattle, WA, United States",244,5.0,6,2.0,1.0,90,2018-12-20 02:59:21.284864,47.682261,-122.34345,0101000020E6100000EB73B515FB955EC00A2B155454D74740,"Green Lake Guest Suite, private apt",USD,nightly
67,134091,658155,Entire home/apt,"Seattle, WA, United States",152,5.0,4,1.0,1.0,90,2018-12-20 03:25:08.960773,47.62254,-122.317085,0101000020E61000005743E21E4B945EC0D6390664AFCF4740,Vintage Capitol Hill - 1 Pkg Spot,USD,nightly
68,136480,539515,Private room,"Seattle, WA, United States",56,5.0,2,1.0,1.0,85,2018-12-20 03:40:40.090469,47.555084,-122.264553,0101000020E6100000C2C3B46FEE905EC0354415FE0CC74740,Bright Cheery Room in Seattle House,USD,nightly
69,140331,683617,Private room,"Seattle, WA, United States",140,5.0,2,1.0,1.0,75,2018-12-20 03:16:00.321153,47.618939000000005,-122.292123,0101000020E610000034DAAA24B2925EC0069CA56439CF4740,Metrobilly Retreat,USD,nightly
70,143580,594315,Private room,"Seattle, WA, United States",347,4.5,2,1.0,,82,2018-12-20 03:44:55.294019,47.583787,-122.31676999999999,0101000020E6100000A796ADF545945EC03C6A4C88B9CA4740,N. Beacon Hill- Super Private Room,USD,nightly
71,143704,696788,Entire home/apt,"Seattle, WA, United States",338,5.0,3,1.0,1.0,55,2018-12-20 03:45:37.830399,47.612313,-122.298252,0101000020E6100000DD7D8E8F16935EC034F5BA4560CE4740,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",USD,nightly
72,151545,306615,Entire home/apt,"Seattle, WA, United States",13,5.0,5,2.0,1.5,125,2018-12-20 03:12:55.011581,47.650622999999996,-122.320076,0101000020E6100000020F0C207C945EC041834D9D47D34740,Seattle 3 Bed Charmer w/Holiday Ships on the Bay!,USD,nightly
73,152568,734114,Entire home/apt,"Mercer Island, WA, United States",2,,10,3.0,4.5,5900,2018-12-20 03:39:23.645473,47.59259,-122.246703,0101000020E6100000CE3461FBC98F5EC0E4F736FDD9CB4740,Luxury Waterfront Mansion,USD,nightly
74,158345,759949,Private room,"Seattle, WA, United States",412,5.0,2,1.0,1.0,55,2018-12-20 02:59:11.568063,47.669921,-122.40146399999999,0101000020E61000005EA10F96B1995EC0AAF3A8F8BFD54740,Restful Room in W. Ballard-NO cleaning fee!,USD,nightly
75,162563,776719,Private room,"Seattle, WA, United States",9,5.0,1,1.0,1.0,120,2018-12-20 03:53:21.390839,47.612942,-122.31263600000001,0101000020E610000058E36C3A02945EC0232C2AE274CE4740,Quiet Clean and safe neighborhood,USD,nightly
76,170273,804996,Entire home/apt,"Seattle, WA, United States",201,5.0,7,3.0,2.5,179,2018-12-20 03:33:17.136149,47.627674,-122.35861100000001,0101000020E6100000183F8D7BF3965EC05646239F57D04740,Stroll to Stunning Views from a Historic Home,USD,nightly
77,170469,756099,Private room,"Seattle, WA, United States",84,5.0,2,1.0,1.0,70,2018-12-20 03:05:42.924954,47.678298999999996,-122.374931,0101000020E61000006CD097DEFE975EC06BF46A80D2D64740,Private Bed & Bath in Ballard,USD,nightly
78,173896,830508,Private room,"Seattle, WA, United States",274,5.0,2,1.0,1.0,50,2018-12-20 03:05:16.430695,47.672345,-122.39891999999999,0101000020E61000001A6EC0E787995EC08750A5660FD64740,Cozy in Ballard: Detached Bedroom en Suite,USD,nightly
79,174636,834328,Private room,"Seattle, WA, United States",36,5.0,3,1.0,1.0,85,2018-12-20 03:40:55.664877,47.511457,-122.25608100000001,0101000020E6100000200890A163905EC0B727486C77C14740,"2 Rooms available, view of the lake",USD,nightly
80,175576,239585,Entire home/apt,"Seattle, WA, United States",279,5.0,2,1.0,1.0,85,2018-12-20 03:33:11.981621,47.635482,-122.358478,0101000020E61000007995B54DF1965EC02D99637957D14740,Private Apartment - Queen Anne Hill,USD,nightly
82,189156,179030,Entire home/apt,"Seattle, WA, United States",254,5.0,2,0.0,1.0,59,2018-12-20 03:42:50.078536,47.545431,-122.39783700000001,0101000020E6100000E108522976995EC0BF9CD9AED0C54740,Sweet Studio -Water & Mountain view,USD,nightly
83,189219,912871,Private room,"Redmond, WA, United States",111,4.5,2,1.0,1.0,85,2018-12-20 02:55:03.330042,47.693384,-122.13026299999999,0101000020E61000003F389F3A56885EC0EBC891CEC0D84740,Private home near Microsoft/Redmond,USD,nightly
