BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASE-MENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,222,1013,,R4,"181 HUDSON STREET, 6D",6D,10013.0,1.0,0.0,1.0,"7,878",1840.0,1909.0,2,R4,2800000,2019-01-03
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,9022,,R4,"10 LITTLE WEST STREET, 19A",19A,10004.0,1.0,0.0,1.0,0,1759.0,0.0,2,R4,2650000,2019-01-07
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,1441,,R4,"30 LITTLE WEST STREET, 7G",7G,10004.0,1.0,0.0,1.0,0,1190.0,2005.0,2,R4,1005000,2019-01-09
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,3624,,R4,"2 RIVER TERRACE, 4C",4C,0.0,1.0,0.0,1.0,0,1088.0,2006.0,2,R4,1678000,2019-01-10
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2610,,R4,"380 RECTOR PLACE, 10A",10A,10280.0,1.0,0.0,1.0,0,873.0,0.0,2,R4,1380000,2019-01-11
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1903,,R4,"111 MURRAY STREET, 37W",37W,10007.0,1.0,0.0,1.0,0,2279.0,2016.0,2,R4,6924100,2019-01-14
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2506,,R4,"300 ALBANY STREET, 9M",9M,10280.0,1.0,0.0,1.0,0,695.0,1986.0,2,R4,501000,2019-01-15
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,3703,,R4,"1 RIVER TERRACE, 9M",9M,0.0,1.0,0.0,1.0,0,1449.0,2006.0,2,R4,2400000,2019-01-15
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1921,,R4,"111 MURRAY STREET, 43W",43W,10007.0,1.0,0.0,1.0,0,2279.0,2016.0,2,R4,9316988,2019-01-15
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,222,1220,,R4,"443 GREENWICH STREET, 3C",3C,10013.0,1.0,0.0,1.0,"35,127",3227.0,1905.0,2,R4,10200000,2019-01-15
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,84,1027,,R4,"140 WEST STREET, 11K",11K,10007.0,1.0,0.0,1.0,0,2249.0,1930.0,2,R4,4100000,2019-01-16
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,214,1207,,R4,"7 HUBERT STREET, M9C",M9C,10013.0,1.0,0.0,1.0,"19,282",4663.0,2004.0,2,R4,7200000,2019-01-18
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,217,1433,,R4,"412 GREENWICH STREET, PHC",PHC,10013.0,1.0,0.0,1.0,"19,936",4986.0,1915.0,2,R4,13240000,2019-01-18
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,222,1106,,R4,"195 HUDSON STREET, 2C",2C,10013.0,1.0,0.0,1.0,0,2436.0,0.0,2,R4,4900000,2019-01-18
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1625,,R4,"101 WARREN STREET, 1550",1550,10007.0,1.0,0.0,1.0,0,1920.0,2006.0,2,R4,3870000,2019-01-23
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,137,1095,,R4,"295 GREENWICH STREET, 8J-N",8JN,10007.0,1.0,0.0,1.0,0,432.0,1987.0,2,R4,640000,2019-01-24
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,84,1032,,R4,"140 WEST STREET, 11Q",11Q,10007.0,1.0,0.0,1.0,0,2063.0,1930.0,2,R4,4750000,2019-01-25
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1928,,R4,"111 MURRAY STREET, 46W",46W,10007.0,1.0,0.0,1.0,0,3208.0,2016.0,2,R4,11648526,2019-01-25
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,132,1070,,R4,"275 GREENWICH STREET, 6LS",6LS,10007.0,1.0,0.0,1.0,0,868.0,1987.0,2,R4,1090000,2019-01-29
